Cliente Ordine ,Ragione Sociale ,Partita iva,Codice ateco,Codice ATECO 2025,Descrizione ATECO 2025,Codice ATECO Primario,Descrizione ATECO Primario
125,ICA SPA,03452680378,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
126,T.H.F. SRL - SOCIETA' UN,00851340349,,None,,28.96,
133,IMAL SRL,00313750366,,28.42,Fabbricazione di altre macchine utensili,28.49.09,Fabbricazione di altre macchine utensili (incluse parti e accessori) n.c.a.
134,ITALPACK SRL,01457530408,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
135,M & T SRL,03342140401,,26.60.01,"Fabbricazione di apparecchiature per irradiazione, elettromedicali ed elettroterapeutiche per usi medici",26.60.02,Fabbricazione di apparecchi elettromedicali (incluse parti staccate e accessori)
136,RAIMONDI SPA,01496460369,,28.92,"Fabbricazione di macchine da miniera, cava e cantiere",28.92.09,"Fabbricazione di altre macchine da miniera, cava e cantiere (incluse parti e accessori)"
139,LOGEL  SRL  C/UNICO SOCI,02198670362,,33.20.03,Installazione di strumenti e apparecchi di misurazione e controllo,33.20.03,"Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (incluse le apparecchiature di controllo dei processi industriali)"
147,DONATI FRANCO & C. SNC,01588581205,,43.21.01,Installazione di impianti di illuminazione e fotovoltaici in edifici,43.21.01,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione)
152,MULTIPACK SRL,00573201209,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
157,FABBRI 1905 SPA,00281980375,,10.39,Altre attività di lavorazione e conservazione di frutta e ortaggi,10.39,Altra Lavorazione e conservazione di frutta e di ortaggi
167,OPEM SPA,00155580343,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
168,O.A.M. SPA,00503681207,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
171,OMAG SPA,02154180406,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
175,P.B.E. COMMERCIALE SRL,01039620362,,43.21.01,Installazione di impianti di illuminazione e fotovoltaici in edifici,43.21.01,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione)
177,P.M.E. SRL,00544371206,,33.20.03,Installazione di strumenti e apparecchi di misurazione e controllo,33.20.03,"Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (incluse le apparecchiature di controllo dei processi industriali)"
178,AETNA GROUP SPA,01551781204,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
180,V-SHAPES  SRL,03664681206,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
181,RICOTH SRL,01143070397,,28.99.99,Fabbricazione di tutte le altre macchine varie per impieghi speciali n.c.a.,28.99.99,Fabbricazione di altre macchine ed attrezzature per impieghi speciali n.c.a. (incluse parti e accessori)
186,SACMI IMOLA S.C.,00498321207,,28.99.99,Fabbricazione di tutte le altre macchine varie per impieghi speciali n.c.a.,28.99.99,Fabbricazione di altre macchine ed attrezzature per impieghi speciali n.c.a. (incluse parti e accessori)
187,S.A.I.I.E.  SRL,00518230404,,33.20.09,Installazione di altre macchine e apparecchiature industriali,33.20.02,"Installazione di apparecchi elettrici ed elettronici per telecomunicazioni, di apparecchi trasmittenti radiotelevisivi, di impianti di apparecchiature elettriche ed elettroniche (esclusa l'installazione all'interno degli edifici)"
188,SASIB SPA,04123450373,,28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco",28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco"
190,RSB SRL  SEMPLIFICATA,03878471204,,46.61,"Commercio all'ingrosso di macchinari, attrezzature e forniture agricole",46.61,"Commercio all'ingrosso di macchinari, attrezzature e forniture agricole"
195,TECMA  SNC,01741460354,,27.33,Fabbricazione di attrezzature per cablaggio,27.33,Fabbricazione di attrezzature per cablaggio
196,EUROGRU  AMICI  SRL,02099600385,,28.22.09,Fabbricazione di altri apparecchi di sollevamento e movimentazione,28.22.09,Fabbricazione di altre macchine e apparecchi di sollevamento e movimentazione
198,GRUPPO TECNOFERRARI SPA,01475650352,,28.2,Fabbricazione di altre macchine di impiego generale,28.2,FABBRICAZIONE DI ALTRE MACCHINE DI IMPIEGO GENERALE
200,SAMP  SRL,03965201209,,28.96,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma,28.96,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori)
203,SUPPINI SRL,02222541209,,43.21.01,Installazione di impianti di illuminazione e fotovoltaici in edifici,43.21.01,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione)
204,S.M. SRL,00702441205,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
205,SENZANI BREVETTI  SPA,00082770397,,28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco",28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco"
206,STROMAB SPA,01862700356,,28.4,Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili,28.4,FABBRICAZIONE DI MACCHINE PER LA FORMATURA DEI METALLI E DI ALTRE MACCHINE UTENSILI
208,SOTEMAPACK  SPA,01974391201,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
209,AV  ELECTRONICS SRL  A S,01521720340,,26.12,Fabbricazione di schede elettroniche integrate,26.12,Fabbricazione di schede elettroniche assemblate
213,S.A.M.U. AUTOMAZIONI SRL,02348010360,,43.21.01,Installazione di impianti di illuminazione e fotovoltaici in edifici,43.21.01,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione)
214,FIMEC  SRL,01551500364,,27.11,"Fabbricazione di motori, generatori e trasformatori elettrici",27.11,"Fabbricazione di motori, generatori e trasformatori elettrici"
220,TECNOCART IMBALLAGGI SRL,02397341203,,46.86.3,Commercio all'ingrosso di articoli per imballaggio,46.76.3,Commercio all'ingrosso di imballaggi
224,AMADEI  AURO  SRL,01942120369,,27.12,Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità,27.12,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
228,ZAMBELLI SRL,00547121202,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
232,PAGLIERANI  SRL,01777590405,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
236,CERAMICA DEL CONCA SPA,00819720400,,23.31,Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti,23.31,Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti
241,OSKAR  SRL,01883190207,,32.91,Fabbricazione di scope e spazzole,32.91,Fabbricazione di scope e spazzole
250,AEA  SRL,00686250424,,28.99.99,Fabbricazione di tutte le altre macchine varie per impieghi speciali n.c.a.,28.99.99,Fabbricazione di altre macchine ed attrezzature per impieghi speciali n.c.a. (incluse parti e accessori)
253,MAC DUE SRL,00512891201,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
254,MEC.IND SRL,02202970360,,28.91,Fabbricazione di macchine per la metallurgia,28.91,Fabbricazione di macchine per la metallurgia
255,NILMA SPA,01574440341,,28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco",28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco"
267,MATTEUZZI SRL,03832871200,,28.96,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma,28.96,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori)
268,EPSOL  SRL,03120401207,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
270,O.C.E. ELETTRONICA DI PO,00338641202,,26.12,Fabbricazione di schede elettroniche integrate,26.12,Fabbricazione di schede elettroniche assemblate
